item_name,flips,total_profit,total_spent,roi_percent,avg_profit_per_flip,last_flipped
Blighted karambwan,18,420746,10337148,4.070232911437468,23374.777777777777,08-18-2025
Pharaoh's sceptre (uncharged),4,416148,17476659,2.3811645006062085,104037,08-14-2025
Mage's book,8,415329,39865394,1.0418284088701093,51916.125,08-20-2025
Ruby bolts (e),17,410667,9383167,4.3766353087395755,24156.882352941175,08-17-2025
Dragon hunter lance,1,408425,58771864,0.6949328678770508,408425,08-19-2025
Aether catalyst,9,404974,11094518,3.6502171613043486,44997.11111111111,08-14-2025
Snapdragon seed,5,404846,54874547,0.7377664548192079,80969.2,08-20-2025
Super restore(4),3,404260,55697877,0.7258086336037548,134753.33333333334,08-20-2025
Serpentine helm (uncharged),10,391543,71011819,0.551377229190538,39154.3,08-20-2025
Blighted manta ray,17,387534,29095783,1.3319249734574938,22796.117647058825,08-19-2025
Adamant dart tip,14,373122,35260687,1.058181311101511,26651.571428571428,08-20-2025
Zombie axe,9,363085,31783933,1.1423539056667404,40342.77777777778,08-19-2025
Odium ward,5,354674,31463763,1.1272459686401783,70934.8,08-13-2025
White berries,12,348612,13310363,2.61910212366109,29051,08-15-2025
Dragon knife,5,341637,25802692,1.3240362672235904,68327.4,08-15-2025
Ring of dueling(8),18,337466,20202575,1.6704108263426818,18748.11111111111,08-19-2025
Chinchompa,12,335234,19441329,1.724336849605292,27936.166666666668,08-18-2025
Mahogany plank,4,329169,36269984,0.9075520959700452,82292.25,08-20-2025
Eye of ayak (uncharged),1,322319,62956864,0.5119680039971496,322319,08-18-2025
Monkfish,9,314386,23634977,1.3301726504747602,34931.77777777778,08-20-2025
Divine super combat potion(4),7,311775,37999554,0.8204701560444629,44539.28571428572,08-10-2025
Dragonfire ward,3,306344,41681517,0.7349636530743351,102114.66666666667,08-18-2025
Rangers' tunic,6,303141,31134821,0.9736397713672419,50523.5,08-15-2025
Accursed sceptre (u),7,302661,26327675,1.1495925865083034,43237.28571428572,08-11-2025
Grapes,14,298060,11278482,2.6427315307148604,21290,08-20-2025
