account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Feather,FINISHED,1,3,1,2,0,'-1,2025-08-23T18:05:51Z,2025-08-23T18:06:03Z,2025-08-23T18:06:03Z,7748be43832468ad34c4a33132977b344dcf3bca376a3694387e3537a06de84e
1000tomax,Atlatl dart,FINISHED,10934,1355816,10934,1377684,21868,23668,2025-08-23T17:14:46Z,2025-08-23T17:35:47Z,2025-08-23T17:35:47Z,879b05c61ca16c7c38d5f551aa5dd15bdc00917cf2520fa8af670b22e91ee427
1000tomax,Red chinchompa,FINISHED,314,231104,314,232988,4710,1884,2025-08-23T17:07:57Z,2025-08-23T17:34:40Z,2025-08-23T17:34:40Z,d37777ac874ce9ee5236e557506fd7e4d3a46d92d05ca75a704c0c0e147e615c
1000tomax,Iron ore,FINISHED,11746,1139362,11746,1198092,23492,58730,2025-08-23T17:12:29Z,2025-08-23T17:34:10Z,2025-08-23T17:34:10Z,9db5cb3fb1bf7bcf23b4b16de99f84a86c8b07cc7e249dca4b964d004c633aab
1000tomax,Amulet of fury,FINISHED,8,15830408,8,15845140,323364,14736,2025-08-23T17:11:31Z,2025-08-23T17:32:01Z,2025-08-23T17:32:01Z,1225df56a5cffdb6d28b26f94ab6f5cbf8c2fe03e32762a017ac9dd332300877
1000tomax,Essence impling jar,FINISHED,563,1024660,563,1054499,21394,29839,2025-08-23T17:02:15Z,2025-08-23T17:19:45Z,2025-08-23T17:19:45Z,e7aad17b2ee19a10904d5fa453cdc7ce6584a940d720a411b302d50bf301993e
1000tomax,Revenant ether,FINISHED,30000,5310000,30000,5370000,90000,60000,2025-08-23T16:44:24Z,2025-08-23T17:17:28Z,2025-08-23T17:17:28Z,32a5aa331c90d42efa421e61cf5a1e8c13cfec6d344095c5de50b45527a7ccf7
1000tomax,Dark crab,FINISHED,3579,6134406,3579,6159459,125265,25053,2025-08-23T16:48:59Z,2025-08-23T17:15:49Z,2025-08-23T17:15:49Z,d1cc51de7d4adbf95dcc5af4cc940ba58ff07f1962418a3b36ba22782d94a123
1000tomax,Twisted buckler,FINISHED,2,32767092,2,32885984,671142,118892,2025-08-23T16:55:39Z,2025-08-23T17:07:50Z,2025-08-23T17:07:50Z,2c6f38c1bee211dbf6871f31973c5ba209fe2b1a102a5b7178c6999e4ef1ff14
1000tomax,Mithril bar,FINISHED,5775,3961650,5775,4002075,80850,45284,2025-08-23T16:41:17Z,2025-08-23T17:01:02Z,2025-08-23T17:01:02Z,f584237fddbebd639eb92904f2e1f84ad6da6daca9acc1cf3da1281acf339416
1000tomax,Astral rune,FINISHED,25000,1375000,25000,1400000,25000,25000,2025-08-23T16:25:51Z,2025-08-23T16:59:17Z,2025-08-23T16:59:17Z,57b59cbbce4fa72e835a6cb18263bbb583766cd1693c5cff6b62f07e66e26903
1000tomax,Saradomin brew(4),FINISHED,2000,20140000,2000,20095331,408669,'-44648,2025-08-23T16:13:09Z,2025-08-23T16:42:41Z,2025-08-23T16:42:41Z,cc0807f8c330aeeb28ffc5a93726b6071d2bab1a39e5f5a901b6744731c9cb90
1000tomax,Forgotten brew(4),FINISHED,157,907460,157,924573,18840,17113,2025-08-23T16:26:50Z,2025-08-23T16:42:23Z,2025-08-23T16:42:23Z,12d958a8d2da1ece5d1ee2465357f7b938b24d4403f94e4ea9ba759073971184
1000tomax,Ring of dueling(8),FINISHED,2247,1474032,2247,1505490,0,32207,2025-08-23T16:00:59Z,2025-08-23T16:40:28Z,2025-08-23T16:40:28Z,e00e3c30776d42ca7b6c4b7a21d32b380b9919596d3d8e0dfe7f3911402527b6
1000tomax,Dragon warhammer,FINISHED,2,36576216,2,36701268,749004,125052,2025-08-23T16:32:42Z,2025-08-23T16:37:45Z,2025-08-23T16:37:45Z,9f1727e5a69fd68d9ada4b10adf2f88dc65fc1f6819ff5db51a7607a69130116
1000tomax,Blood moon tassets,FINISHED,1,6268220,1,6333461,129254,65241,2025-08-23T16:06:41Z,2025-08-23T16:36:36Z,2025-08-23T16:36:36Z,737a37d6854aff1a95deef50cf32a2aec01d26b638abecb1472fa73d17882998
1000tomax,Atlatl dart,FINISHED,66,8184,66,8184,132,0,2025-08-23T16:20:31Z,2025-08-23T16:25:37Z,2025-08-23T16:25:37Z,b5b5cd5fcb19f6c3179874f91862fd4c6dc41e19993fc95f7958632abbec775e
1000tomax,Tormented synapse,FINISHED,1,34377511,1,34503142,704145,125631,2025-08-23T16:02:28Z,2025-08-23T16:24:45Z,2025-08-23T16:24:45Z,e8d4629a6347f318d01497e24d64f20c9e1c2cb1dcf438125fec49f38a0b95b7
1000tomax,Coal,FINISHED,6124,1034956,6124,1065576,18372,30620,2025-08-23T16:14:09Z,2025-08-23T16:23:35Z,2025-08-23T16:23:35Z,8b65ff6dc21d81754bafd9bb1da92336f53ef26309f2b42b5346eada6e81242d
1000tomax,Wrath rune,FINISHED,25000,6425000,25000,6475000,125000,50000,2025-08-23T16:08:21Z,2025-08-23T16:20:11Z,2025-08-23T16:20:11Z,e6142c25f16f4bd07089e5324e4d8379b04f3b08ea0d3fa502ea620f1c8749fa
1000tomax,Cannonball,FINISHED,11000,2013000,11000,2057000,33000,44000,2025-08-23T16:10:56Z,2025-08-23T16:13:15Z,2025-08-23T16:13:15Z,76941526132cc365900d41e05e88a1696e97882ac651bdd3c8e03758361988e5
1000tomax,Basilisk jaw,FINISHED,2,33555096,2,34289050,699776,733955,2025-08-23T09:05:59Z,2025-08-23T16:08:16Z,2025-08-23T16:08:16Z,1ff620a1b3a76cae27a732508433cba8fcb86c0633a46b2959597446eb3905c0
1000tomax,Adamant dart,FINISHED,6160,406560,6160,480480,6160,73920,2025-08-23T16:02:35Z,2025-08-23T16:07:42Z,2025-08-23T16:07:42Z,073b8420277268fe67a3a8a252ecc12ecac1c68bdfa58fab109b12ef4bdc4b27
1000tomax,Bandos godsword,FINISHED,2,32832150,2,32953818,672526,121668,2025-08-23T16:03:48Z,2025-08-23T16:07:09Z,2025-08-23T16:07:09Z,d7c66c2f1af6dd48211e21673a8ac2860129e9a6993af232fcd1dbf77734caa5
1000tomax,Amethyst dart,FINISHED,4826,2147570,4826,2200656,43434,53086,2025-08-23T15:52:10Z,2025-08-23T16:02:21Z,2025-08-23T16:02:21Z,a6d131d8bc94ef7f84edb5aab433f8c3f2bd7d441206cbe99e4a4740cb9b0d32
1000tomax,Nature rune,FINISHED,18000,1530000,18000,1566000,18000,36000,2025-08-23T15:50:24Z,2025-08-23T15:59:43Z,2025-08-23T15:59:43Z,e814bd9ce2bb2fb9acb9b1791c368b47cd95363818f2b7255368dc17688c18b1
1000tomax,Chaos rune,FINISHED,18000,1008000,18000,1062000,18000,54000,2025-08-23T15:49:55Z,2025-08-23T15:59:10Z,2025-08-23T15:59:10Z,9b16666f9e96f9d3ac992a3a87ea8dc13db76b88224b1f8525eebe96485dcd2f
1000tomax,Rune arrow,FINISHED,11000,2211000,11000,2255000,44000,44000,2025-08-23T15:30:42Z,2025-08-23T15:55:16Z,2025-08-23T15:55:16Z,ae07082fe2967de7c8486956cadbd95ef97d44ce419efd534dd4f05565812963
1000tomax,Demon tear,FINISHED,13000,1651000,13000,1703000,26000,52000,2025-08-23T15:50:17Z,2025-08-23T15:55:14Z,2025-08-23T15:55:14Z,c922a0665e36e236149cb9a7389106bf70c135d9ba1e9f59d5ab27e971e725a6
1000tomax,Ankou top,FINISHED,1,21182951,1,21427844,437302,244893,2025-08-23T09:15:20Z,2025-08-23T15:50:36Z,2025-08-23T15:50:36Z,a0a29ab2ee36adaa7ef3684196b85d75835c6dbcee99bb88edb07b2c9da4b829
1000tomax,Soul rune,FINISHED,25000,8325000,25000,8400000,150000,75000,2025-08-23T15:26:17Z,2025-08-23T15:50:32Z,2025-08-23T15:50:32Z,a429d796ff9b40e9779cb2592935198388181844cfe678d8494b7349f27637d1
1000tomax,Harralander potion (unf),FINISHED,3891,2661444,3891,2809302,54474,147858,2025-08-23T09:14:32Z,2025-08-23T15:40:17Z,2025-08-23T15:40:17Z,a9c884d5c8613a854d89bd47dea3fd49b6ac420209144e06b9fb1ce4d3f91716
1000tomax,Death rune,FINISHED,15756,1811940,15756,1890720,31512,78780,2025-08-23T15:23:52Z,2025-08-23T15:35:07Z,2025-08-23T15:35:07Z,2f3066d77cad6cf9ac6c4d1fda8e60199be86e5a3bb773accbfa6271ae07e11f
1000tomax,Coal,FINISHED,6876,1148292,6876,1217052,20628,68760,2025-08-23T15:23:29Z,2025-08-23T15:30:09Z,2025-08-23T15:30:09Z,eb45130c8ef0959143bc4842ceadea72d206fdb631a1dfa017ba6d91a47d3272
1000tomax,Master wand,FINISHED,1,1823249,1,1840927,37569,17678,2025-08-23T15:24:41Z,2025-08-23T15:28:45Z,2025-08-23T15:28:45Z,5f131ff733c4cddcb29d5cdf19dbe59cb899d647673ac3006df7a4277f00e3a1
1000tomax,Necklace of anguish,FINISHED,2,32763004,2,33004694,673564,241690,2025-08-23T09:16:03Z,2025-08-23T15:27:01Z,2025-08-23T15:27:01Z,9c1d57f9daebeb7619ce7d6110df2fb3c263eafe6beb18706c788d0158227144
1000tomax,Baby impling jar,FINISHED,1515,1560450,1515,1574085,31815,14808,2025-08-23T03:45:15Z,2025-08-23T15:19:55Z,2025-08-23T15:19:55Z,bd9b6a8ecbaf16adcce741d4a1eb1941383152d8e92494375bfa8f4e133ecf6c
1000tomax,Mokhaiotl waystone,FINISHED,100,15508800,100,15928200,325000,419400,2025-08-23T09:04:19Z,2025-08-23T15:19:55Z,2025-08-23T15:19:55Z,84aaafacdb081ae1b8ce02fa0d273fbeaaec38e4aad620a10dd5fcaf183b69f4
1000tomax,Abyssal whip,FINISHED,12,19783224,12,19804788,404172,21564,2025-08-23T08:45:08Z,2025-08-23T09:37:19Z,2025-08-23T09:37:19Z,5b28bbe7cccdfd2ef9b80dbec594b355ce86cb34fb415ab5ff9310f7708f8ef0
1000tomax,Lightbearer,FINISHED,2,10580620,2,10653384,217416,72764,2025-08-23T08:42:41Z,2025-08-23T09:17:58Z,2025-08-23T09:17:58Z,bbffd9db501f243725c9af3415f68cdd388eb60e772ad293cb28da27b03c9a27
1000tomax,Cape of skulls,FINISHED,1,4672544,1,4735239,96637,62695,2025-08-23T08:27:08Z,2025-08-23T09:03:26Z,2025-08-23T09:03:26Z,3d6f34099055466df61b2d2c18c5bb4a6f665de44954228d4ebe6d6e6a9efc2a
1000tomax,Demon tear,FINISHED,13000,1638000,13000,1690000,26000,52000,2025-08-23T08:55:09Z,2025-08-23T09:03:10Z,2025-08-23T09:03:10Z,7d810a94f0fa725462eb4c48d47109780412dd543f96c2f493e467134d84c64c
1000tomax,Amethyst dart,FINISHED,11000,4807000,11000,4906000,99000,99000,2025-08-23T08:52:11Z,2025-08-23T09:03:05Z,2025-08-23T09:03:05Z,27fb01f6dd4fe0b41be1e14eaf15c2e2998459d135add7c5d99e98c28d6c17f7
1000tomax,Divine super strength potion(4),FINISHED,260,2264080,260,2264340,46020,372,2025-08-23T07:53:15Z,2025-08-23T08:36:18Z,2025-08-23T08:36:18Z,413060a8082ea7a20b87726c40864f1120c1e41d6df9cdd27e8cfeb4269dedd7
1000tomax,Ankou top,FINISHED,1,21344625,1,21366127,436043,21502,2025-08-23T05:55:43Z,2025-08-23T08:35:11Z,2025-08-23T08:35:11Z,baf4d4a76988d1f69b382ba7307c70c2d8d1954babd69a271b75616b43c35901
1000tomax,Monkfish,FINISHED,24,13152,24,13008,264,'-144,2025-08-23T08:32:07Z,2025-08-23T08:34:28Z,2025-08-23T08:34:28Z,e94ea126ae164db849065bedd01bc98a666cfc6f4272f9007e1ab16d10988400
1000tomax,Amulet of eternal glory,FINISHED,1,40321534,1,40779324,832231,457790,2025-08-23T07:39:14Z,2025-08-23T08:29:13Z,2025-08-23T08:29:13Z,cef8e884e4e898dea8ae438eaccdd179ff6032a392e8bfb1bdf2e35d09791845
1000tomax,Blood rune,FINISHED,25000,4925000,25000,4925000,100000,0,2025-08-23T08:17:28Z,2025-08-23T08:19:51Z,2025-08-23T08:19:51Z,f07f65a5d8828825fa65f8a9bd3b7f7223cdced781263330eff28af9672a084a
1000tomax,Berserker ring,FINISHED,2,10674454,2,10681502,217988,7048,2025-08-23T08:14:20Z,2025-08-23T08:18:06Z,2025-08-23T08:18:06Z,7686cdfd39611e38dfe81db23000d74540cf0eca8828509bc673fb5bb495bb18
1000tomax,Divine ranging potion(4),FINISHED,237,2496558,237,2510304,51192,13746,2025-08-23T08:01:07Z,2025-08-23T08:09:36Z,2025-08-23T08:09:36Z,2de50077c2049dc8be4215ccdf4627665337254d631d7cabb74b8cf679153c8a
1000tomax,Black chinchompa,FINISHED,11000,23034000,11000,23166000,462000,140655,2025-08-23T06:38:52Z,2025-08-23T08:07:09Z,2025-08-23T08:07:09Z,9bd2044a74d130d53ec0a5d270e6e58d22fc743897678786e5983e734b2c95b2
1000tomax,Snape grass seed,FINISHED,200,1715600,200,1759400,35800,43800,2025-08-23T07:50:22Z,2025-08-23T07:56:49Z,2025-08-23T07:56:49Z,3d80238e4e610382eb3ce1b91d1b3e1256ffb435d21fd187c8fcb94248753358
1000tomax,Dragon harpoon,FINISHED,1,2905511,1,2947124,60145,41613,2025-08-23T07:09:20Z,2025-08-23T07:39:04Z,2025-08-23T07:39:04Z,42e016ef109a8598bdc9f7488c981c84d51b2f5669e66dcbb93e2dd3fa711d51
1000tomax,Yew longbow,FINISHED,18000,9342000,18000,9378000,180000,36000,2025-08-23T07:04:39Z,2025-08-23T07:38:17Z,2025-08-23T07:38:17Z,91347dbfd4938c72185d6fbfba15e51e92b9f892a818e138b433ebba34bb4086
1000tomax,Cape of skulls,FINISHED,1,4667894,1,4749433,96927,81539,2025-08-23T07:23:10Z,2025-08-23T07:34:11Z,2025-08-23T07:34:11Z,ec084f31da215264c25592973abebdb4888d7344b57746d1b50b60caba46a348
1000tomax,Trouver parchment,FINISHED,2,1215090,2,1241818,25342,26728,2025-08-23T07:22:35Z,2025-08-23T07:26:59Z,2025-08-23T07:26:59Z,a65a426309eb52bc6e38fdac0a60824b2e605a17e6d4f2ce85fa63e69dc1ff0f
1000tomax,Abyssal whip,FINISHED,7,11550868,7,11607680,236887,56812,2025-08-23T06:58:11Z,2025-08-23T07:18:14Z,2025-08-23T07:18:14Z,02604c18b81a120230bd57abc9bd0b30e830c5f24016ae33ab81f502b3f5b3ab
1000tomax,Ring of suffering,FINISHED,1,16393501,1,16586408,338498,192907,2025-08-23T07:08:33Z,2025-08-23T07:11:15Z,2025-08-23T07:11:15Z,db7c32c37e050f8bb1b03501d506d164a6f09c08c796ca50f199663dd67dbf3e
1000tomax,Tuna potato,FINISHED,144,235296,144,239904,4752,4608,2025-08-23T06:46:09Z,2025-08-23T07:01:54Z,2025-08-23T07:01:54Z,17ebcb81f1597e0d56f724f311fe1cd668758c453b723e9b34ef0c52ee8bead9
1000tomax,Wrath rune,FINISHED,15119,3840226,15119,3915821,75595,75595,2025-08-23T06:55:24Z,2025-08-23T07:00:59Z,2025-08-23T07:00:59Z,335392cac1943f06dcc2d4f5811efe26edc436d480d22239328aeb33fd2a2ae6
1000tomax,Ranarr seed,FINISHED,200,5621600,200,5668400,115600,46800,2025-08-23T06:44:44Z,2025-08-23T06:45:16Z,2025-08-23T06:45:16Z,69baf431da16ca7549c525abc3bd1a71545ed08d50e611095cfbbab00a6be6d0
1000tomax,Avernic defender hilt,FINISHED,1,44341394,1,44736019,912979,394625,2025-08-23T06:04:46Z,2025-08-23T06:45:06Z,2025-08-23T06:45:06Z,389201ad49cf2ff36dd77658f6f6a712f61f2213e1daf8c6b64b17d401f984f1
1000tomax,Anguish ornament kit,FINISHED,1,9612737,1,9737743,198729,125006,2025-08-23T05:57:43Z,2025-08-23T06:44:27Z,2025-08-23T06:44:27Z,d048cac13e0775794b426a0e78cc2f62f1eb77f500d9defdfcc8b37bfc4a2de2
1000tomax,Revenant ether,FINISHED,30000,5280000,30000,5340000,90000,60000,2025-08-23T06:06:13Z,2025-08-23T06:44:04Z,2025-08-23T06:44:04Z,3ee68dde95d7e4e4371fd3651f556a273ce0606844cabccde5e053a9ce12d583
1000tomax,Coal,FINISHED,13000,2210000,13000,2249000,39000,39000,2025-08-23T06:15:04Z,2025-08-23T06:43:53Z,2025-08-23T06:43:53Z,55a98d12df052c286081c01cbbcd11a18bfa168b46115cb8c62c559531adbccf
1000tomax,Necklace of anguish,FINISHED,2,32891194,2,33038354,674252,147160,2025-08-23T06:34:09Z,2025-08-23T06:37:33Z,2025-08-23T06:37:33Z,d16e69195f078ab1a9d5d4632441f74e25f741c9fdc61d8456fd8cb1f1992da3
1000tomax,Astral rune,FINISHED,904,50624,904,50624,904,0,2025-08-23T06:30:08Z,2025-08-23T06:32:31Z,2025-08-23T06:32:31Z,5a9052b2f42eb6443af7bc6dfb362270b74a94020a2517310a0b4fc485ac2ce4
1000tomax,Ring of suffering,FINISHED,1,16396193,1,16392298,334536,'-3895,2025-08-23T05:55:05Z,2025-08-23T06:20:00Z,2025-08-23T06:20:00Z,aa21f6225b12d358cda3fa05d87d94c816fe1e1c9db1cc30b609e2a089bec6bd
1000tomax,Atlatl dart,FINISHED,11000,1408000,11000,1485000,22000,77000,2025-08-23T06:05:03Z,2025-08-23T06:13:02Z,2025-08-23T06:13:02Z,8c8af84d94c9d1c9e861cf1319ee1ee20c73c46c42107406a1d2b7510286567a
1000tomax,Death rune,FINISHED,25000,3000000,25000,3025000,50000,25000,2025-08-23T06:04:42Z,2025-08-23T06:08:20Z,2025-08-23T06:08:20Z,cfd66ed316e25afedcb980619f78a3857c74b5257aa5d4b352a8f970668f086e
