account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Dragon sword,FINISHED,4,403264,4,402048,8204,-1214,2025-07-30T22:22:55Z,2025-07-31T02:35:59Z,2025-07-31T02:35:59Z,000677fbd9e72ea8ce20b60fdd3dc828dba6746258c3066e88dfffa161a4d013
1000tomax,Celastrus sapling,FINISHED,6,302802,6,287418,5862,-15384,2025-07-30T18:40:33Z,2025-07-31T02:27:08Z,2025-07-31T02:27:08Z,36c5f49488581422c62eb4541ae566a40a6913cf4e21bb00deea5a8b5e20ee5a
1000tomax,Unpowered orb,FINISHED,1561,104587,1561,126441,1561,21854,2025-07-30T23:45:10Z,2025-07-31T01:46:25Z,2025-07-31T01:46:25Z,eb3656a8f597e65c9e3d346f91d46b43aade7dab74539e366cd00bb3e36a3bcc
1000tomax,Raw karambwan,FINISHED,1727,747791,1727,751245,13816,3454,2025-07-30T22:48:43Z,2025-07-31T01:44:16Z,2025-07-31T01:44:16Z,43f00fb6c74be843b23c2679976bdcad1d77fa3b678face29c2f763efbe4424c
1000tomax,Yew sapling,FINISHED,34,733040,34,758982,15470,25942,2025-07-30T22:33:58Z,2025-07-31T01:41:33Z,2025-07-31T01:41:33Z,5c3d456474ef177a9f49d640e44e1b225c401fc33880e67c477e44bea1e39826
1000tomax,Super energy(4),FINISHED,21,102018,21,101703,2058,-315,2025-07-30T22:42:30Z,2025-07-30T23:42:08Z,2025-07-30T23:42:08Z,85d269a5069297a669e000591eb72c3e3b41ed0d6616049a184da3db1884923f
1000tomax,Blue moon spear,FINISHED,1,288034,1,290380,5926,2346,2025-07-30T22:36:26Z,2025-07-30T23:38:48Z,2025-07-30T23:38:48Z,6423d399362e45fe24b3f03959fc5b83c6f3a5c9ec25167c5eb7d12e2c8ea8bf
1000tomax,Tome of water (empty),FINISHED,1,348380,1,355725,7259,7345,2025-07-30T22:16:11Z,2025-07-30T22:44:11Z,2025-07-30T22:44:11Z,531177090bb6ac71844e8502135a578e26f9d7c2e75dc029a7f12666fb03870a
1000tomax,Sea turtle,FINISHED,524,507232,524,513520,9956,6288,2025-07-30T21:15:39Z,2025-07-30T22:36:37Z,2025-07-30T22:36:37Z,ab398d5736a4dc49d28c071e80b8865260ebb5c915cee148dddcc6e301b7c990
1000tomax,Chaos rune,FINISHED,4873,336237,4873,341110,4873,4873,2025-07-30T22:26:21Z,2025-07-30T22:27:32Z,2025-07-30T22:27:32Z,4e1aabdbedb28c088f7cdb21c47228ea5cfe3e65d40c421f759009d6ead09cef
