item_name,spent,received_post_tax,tax_paid,profit,closed_quantity,closed_timestamp
"Blue moon chestplate",1951600,1990476,40620,38876,2,2025-08-07T16:50:31Z
"Mithril dart tip",1740000,1780000,20000,40000,20000,2025-08-07T16:45:52Z
"Willow longbow (u)",59512,65048,692,5536,692,2025-08-07T16:43:24Z
"Sanfew serum(4)",4721112,4739688,96552,18576,216,2025-08-07T16:41:57Z
"Armadyl d'hide boots",734938,745537,15215,10599,1,2025-08-07T16:35:20Z
"Ahrim's hood",323586,333711,6809,10125,2,2025-08-07T16:28:01Z
"Revenant ether",5250000,5310000,90000,60000,30000,2025-08-07T16:18:28Z
"Gold bar",1100000,1200000,20000,100000,10000,2025-08-07T16:14:42Z
"Demon tear",2925000,3029000,52000,104000,13000,2025-08-07T15:39:45Z
"Amethyst dart",714389,735332,13962,20943,2327,2025-08-07T15:39:16Z
"Occult ornament kit",3857529,3913672,79870,56143,1,2025-08-07T15:30:48Z
"Adamantite ore",2967552,3007872,60480,40320,4032,2025-08-07T15:27:44Z
"Stamina potion(4)",191520,192297,3906,777,21,2025-08-07T15:21:09Z
"Runite bolts",1595000,1617000,22000,22000,11000,2025-08-07T15:18:03Z
"Vial of blood",5674200,5721240,116620,47040,490,2025-08-07T15:02:52Z
"Nature rune",1638000,1656000,18000,18000,18000,2025-08-07T15:02:22Z
"Blood rune",5150000,5225000,100000,75000,25000,2025-08-07T14:47:17Z
"Coal",2301000,2340000,39000,39000,13000,2025-08-07T14:46:46Z
"Falador teleport",1208535,1237350,0,28815,1695,2025-08-07T14:42:31Z
"Adamant dart",266,266,0,0,7,2025-08-07T14:28:44Z
"Cosmic rune",1260000,1278000,18000,18000,18000,2025-08-07T14:22:14Z
"Young impling jar",537040,550863,10817,13823,560,2025-08-07T14:15:32Z
"Diamond bolts (e)",1925000,1991000,33000,66000,11000,2025-08-07T14:02:57Z
"Revenant ether",5220000,5310000,90000,90000,30000,2025-08-07T13:56:25Z
"Chaos rune",1206000,1242000,18000,36000,18000,2025-08-07T13:46:52Z
"Cannonball",2069925,2091375,32175,21450,10725,2025-08-07T13:46:48Z
"Blighted anglerfish",1870000,1860000,30000,-10000,10000,2025-08-07T13:43:43Z
"Death rune",3575000,3650000,50000,75000,25000,2025-08-07T13:39:10Z
"Atlatl dart",649000,693000,11000,44000,11000,2025-08-07T13:35:18Z
"Cannonball",52800,53900,825,1100,275,2025-08-07T13:31:41Z
"Warrior ring",205724,284956,5812,79232,4,2025-08-07T13:29:19Z
"Zulrah's scales",4527780,4598160,70380,70380,23460,2025-08-07T13:28:53Z
"Rune arrow",1694000,1749000,33000,55000,11000,2025-08-07T13:26:50Z
"Master wand",1699997,1735481,35417,35484,1,2025-08-07T13:07:44Z
"Zulrah's scales",500802,511290,7866,10488,2622,2025-08-07T13:06:54Z
"Vial of blood",7529760,7544139,153621,14379,672,2025-08-07T13:03:15Z
"Coal",2262000,2301000,39000,39000,13000,2025-08-07T05:48:14Z
"Yew longbow",7758410,7866595,154550,108185,15455,2025-08-07T05:41:08Z
"Mahogany logs",1424611,1470898,25715,46287,5143,2025-08-07T05:36:01Z
"Crystal weapon seed",1320784,1364480,27844,43696,4,2025-08-07T05:14:25Z
"Blue moon tassets",2044152,2072703,42300,28551,1,2025-08-07T05:14:25Z
"Emerald ring",1023768,1045008,21240,21240,1416,2025-08-07T05:10:19Z
