account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Pegasian boots,FINISHED,2,75051922,2,75263184,1535982,211262,2025-09-18T02:56:58Z,2025-09-18T04:09:54Z,2025-09-18T04:09:54Z,e6462ec8d51fa1d1210b605aa409a3918c13242bdeaa1cd11d079ca729abe8bc
1000tomax,Rune arrow,FINISHED,11000,1386000,11000,1452000,22000,66000,2025-09-18T03:25:58Z,2025-09-18T03:56:37Z,2025-09-18T03:56:37Z,38ef9ddea688a6b5118de95148488013b1e388e1f3926419d01cde6d418c0d99
1000tomax,Enhanced crystal teleport seed,FINISHED,2,4960836,2,5017600,102398,56764,2025-09-18T03:28:47Z,2025-09-18T03:52:40Z,2025-09-18T03:52:40Z,3ecebf701e02bcca9ef39f183a5da7629d8dec5cb0c75ff18844ab2ddcf134ec
1000tomax,Adamant dart,FINISHED,11000,539000,11000,539000,0,0,2025-09-18T03:34:08Z,2025-09-18T03:46:12Z,2025-09-18T03:46:12Z,7daa70575631091bd6e928fabc3d35c1b1a481aa480bc10a2eabbc5c5bbfa980
1000tomax,Abyssal bludgeon,FINISHED,2,38207768,2,38319714,782034,111946,2025-09-18T02:51:43Z,2025-09-18T03:27:20Z,2025-09-18T03:27:20Z,c80bf55ce10ef82185a65ae9dd33998888fa91cb24e90b1d3bc04750df88d941
1000tomax,Adamant bolts,FINISHED,4598,882816,4598,887414,13794,4598,2025-09-18T02:50:28Z,2025-09-18T03:26:35Z,2025-09-18T03:26:35Z,2ee9c9a71fb7ea2c2feb815d8a9da109bea1d55c471bbe208e245dd766101663
1000tomax,Anguish ornament kit,FINISHED,1,7935593,1,8075429,164804,139836,2025-09-18T02:45:57Z,2025-09-18T03:17:13Z,2025-09-18T03:17:13Z,82580dc017ff32138331f976b2a054fd9742062a7eed5e813934072547835b69
1000tomax,Dragon hunter wand,FINISHED,3,19681671,3,19977157,407696,295487,2025-09-18T01:48:44Z,2025-09-18T03:09:10Z,2025-09-18T03:09:10Z,9d29e9dbb5449d0674911d55eab1a45ea6799b321cb1c84e4f253361b36d2c98
1000tomax,Toxic blowpipe (empty),FINISHED,4,39247228,4,39417912,804444,170684,2025-09-18T02:45:04Z,2025-09-18T02:58:46Z,2025-09-18T02:58:46Z,dbfb55e943e9266872f6d82c9fb3fd32d4ff023331d7cb4ab7103fdde842051c
1000tomax,Saturated heart,FINISHED,1,109566619,1,110261745,2250239,695126,2025-09-18T02:28:31Z,2025-09-18T02:55:10Z,2025-09-18T02:55:10Z,492e88391475fdd5c1972dd9d5b2a52b26b0102745ce542f55e210660213ce61
1000tomax,Justiciar armour set,FINISHED,1,36317920,1,36521606,745338,203686,2025-09-18T02:46:36Z,2025-09-18T02:47:50Z,2025-09-18T02:47:50Z,5e26e15eb42718daa8f14baae74bc46e9d55b398210221add981b5e0b87ad227
1000tomax,Cannonball,FINISHED,11000,2244000,11000,2310000,44000,66000,2025-09-18T02:44:07Z,2025-09-18T02:44:47Z,2025-09-18T02:44:47Z,ce8f4ba00c49760e7db8331286794100babb1056a7c27868f63f21ac33ed2c8d
1000tomax,Armadyl godsword,FINISHED,4,36157472,4,36333893,741507,176421,2025-09-18T01:43:32Z,2025-09-18T02:41:02Z,2025-09-18T02:41:02Z,76e23c94e1098c97e63f9961371f31032a844daabd99491efa676a9f06fe8d33
1000tomax,Cosmic rune,FINISHED,18000,1674000,18000,1710000,18000,36000,2025-09-18T01:29:16Z,2025-09-18T02:38:06Z,2025-09-18T02:38:06Z,817f83c3ae857fb7771e83ea1faa28a00999c508bd7d505a9ed0f803d2258143
1000tomax,Bandos godsword,FINISHED,3,50607339,3,50789736,1036524,182397,2025-09-18T02:23:06Z,2025-09-18T02:34:18Z,2025-09-18T02:34:18Z,6f3228c7b2112541851db37b6e233f4169371f4e0497dbc1741fc5ad7895cacc
1000tomax,Zombie axe,FINISHED,3,5400486,3,5424750,110709,24264,2025-09-18T01:37:26Z,2025-09-18T02:34:08Z,2025-09-18T02:34:08Z,8ce8254d8d620e3d5f962348e60eed85893981e168b1bb6365b97bd0aebacd8f
1000tomax,Diamond dragon bolts (e),FINISHED,9537,28858962,9537,28970575,584588,113827,2025-09-18T00:20:37Z,2025-09-18T02:23:06Z,2025-09-18T02:23:06Z,f26141a8a748bf9d02154adbf3d4537d6d842772e6aab6235d870c08ae3d5b79
1000tomax,Iron ore,FINISHED,13000,1664000,13000,1690000,26000,26000,2025-09-18T01:25:56Z,2025-09-18T01:47:24Z,2025-09-18T01:47:24Z,26ea0d6c5f924dd795e9a031e5c7b37895d63d967494e5a318cb6e100ed8c726
1000tomax,Mithril dart,FINISHED,7000,105000,7000,126000,0,21000,2025-09-18T01:36:49Z,2025-09-18T01:39:19Z,2025-09-18T01:39:19Z,b411ced250a5820a6bb4b3575f40e5c17c61b640390b63c50a9ec93f56a74127
1000tomax,Death rune,FINISHED,25000,3725000,25000,3800000,75000,75000,2025-09-18T00:37:13Z,2025-09-18T01:33:48Z,2025-09-18T01:33:48Z,c594a0dff13aa0120e0b389998f84cee0ef89d43df50cabc14137b1b19c32ce6
1000tomax,Dragon dart,FINISHED,2390,3283860,2390,3305370,66920,21510,2025-09-18T01:25:15Z,2025-09-18T01:33:02Z,2025-09-18T01:33:02Z,27c98b8ee2b84118b2b391372581b459569f47dd166cbe5fd4322cd5b4f183f4
1000tomax,Amethyst arrow,FINISHED,11000,2992000,11000,3036000,55000,44000,2025-09-18T00:48:37Z,2025-09-18T01:30:24Z,2025-09-18T01:30:24Z,c21dca70e425ca2a53ac0c9c4add597e7508a93407be57029e5d67db04d8e95c
1000tomax,Amethyst dart,FINISHED,7871,2251106,7871,2298332,39355,47226,2025-09-18T00:47:42Z,2025-09-18T01:28:25Z,2025-09-18T01:28:25Z,2442926acdff4e70fcfe7621051cb09c3a92da90000f63fd63e3c5dee4e4ee27
1000tomax,Revenant ether,FINISHED,30000,5160000,30000,5190000,90000,30000,2025-09-17T23:47:43Z,2025-09-18T00:46:24Z,2025-09-18T00:46:24Z,fb6f98e62e138b10ce2fa2c4824e3a1d0c215446a7dd84919c2c1628e51434de
1000tomax,Snape grass seed,FINISHED,200,1421600,200,1437000,29200,15209,2025-09-18T00:14:26Z,2025-09-18T00:44:05Z,2025-09-18T00:44:05Z,9a0536d11bf27edd8b94bbeeff220a31d2e22b891d66e517b5e7c3415ffb27b9
1000tomax,Amethyst dart,FINISHED,3129,891765,3129,910539,15645,18774,2025-09-18T00:25:58Z,2025-09-18T00:41:57Z,2025-09-18T00:41:57Z,64d22f4f02f8b070225a1f42495b5995a8aa9c20c1aa7ac67ead86081d5614ae
1000tomax,Abyssal whip,FINISHED,2,2968624,2,2986322,60944,17698,2025-09-18T00:28:08Z,2025-09-18T00:39:19Z,2025-09-18T00:39:19Z,f9b9558bc7c2ed5c9db13e56110ac35de6612ab7ad5f38d854dbd5ccce1cfce7
1000tomax,Lava dragon bones,FINISHED,63,722925,63,734139,14931,11214,2025-09-18T00:16:32Z,2025-09-18T00:25:35Z,2025-09-18T00:25:35Z,d1072cd1e006999ba7596683a1a531a364d6b4f7baf9230375b3a3c4001412bf
1000tomax,Coal,FINISHED,9688,2005416,9688,2024792,38752,21950,2025-09-18T00:01:15Z,2025-09-18T00:25:22Z,2025-09-18T00:25:22Z,a2a707ab0d557b92d1224b88453b5dd274878e96db68f7e4c7039ef31b4cde49
1000tomax,Basilisk jaw,FINISHED,2,35144724,2,35251634,719420,106910,2025-09-18T00:03:43Z,2025-09-18T00:23:11Z,2025-09-18T00:23:11Z,4b900bdc9b17941924a66b1193425af91111b0e87d703253ee0fb7d015636cd3
1000tomax,Primordial boots,FINISHED,2,47233092,2,47540890,970222,307798,2025-09-17T23:49:33Z,2025-09-18T00:16:34Z,2025-09-18T00:16:34Z,29c85f3592574d749339b33bf9acbb852a9d187095b3155e16cbecee789c3c6f
1000tomax,Eye of ayak (uncharged),FINISHED,1,66292072,1,66658426,1360376,366354,2025-09-17T23:58:49Z,2025-09-18T00:14:41Z,2025-09-18T00:14:41Z,4a3d8f5a66bf5e413e14047c48870eec5fc2303233d7539daef34007cbe86d0f
1000tomax,Sunfire fanatic chausses,FINISHED,1,3162054,1,3164353,64578,2299,2025-09-17T23:01:44Z,2025-09-18T00:06:02Z,2025-09-18T00:06:02Z,7d533a3580ce9edcb0209440b042d3d0cefc74b354e7e527ebebe9f5d85f459b
1000tomax,Red chinchompa,FINISHED,7000,8148000,7000,8225000,161000,77000,2025-09-17T23:51:56Z,2025-09-18T00:03:47Z,2025-09-18T00:03:47Z,6eba447fb4b90770d7b4224ddcddf7e3e59d33f08fb27fb23eac14f1f3f78625
1000tomax,Blood shard,FINISHED,4,32244916,4,32463384,662516,218468,2025-09-17T23:43:45Z,2025-09-18T00:03:12Z,2025-09-18T00:03:12Z,ddec7e5b007be67a87e4fe8a029159b04f348be7b3ef2d8d1a82acfb3d146ed1
1000tomax,Law rune,FINISHED,18000,2142000,18000,2178000,36000,36000,2025-09-17T23:36:42Z,2025-09-17T23:52:27Z,2025-09-17T23:52:27Z,6223a939c17eb2c1e26cbe81e17bc33efe8e1def177b77236c5d7f7e81b81415
1000tomax,Coal,FINISHED,3312,682272,3312,695520,13248,13248,2025-09-17T23:37:58Z,2025-09-17T23:46:43Z,2025-09-17T23:46:43Z,c00f44482d2f82bcf95c876a001f2f85e02cb57341951b584e213bce14568bfc
1000tomax,Toxic blowpipe (empty),FINISHED,1,9844622,1,9893254,201903,48632,2025-09-17T23:40:18Z,2025-09-17T23:46:19Z,2025-09-17T23:46:19Z,9b45588acf996da79afd3491964718f5e45b534b1dc07eb31c621baf78d9a11b
1000tomax,Webweaver bow (u),FINISHED,1,16597423,1,16684264,340495,86841,2025-09-17T23:33:48Z,2025-09-17T23:36:52Z,2025-09-17T23:36:52Z,7fdccaf470fb724885f8814015147dfc68c800d9533f353857da92bcf6b881bd
1000tomax,Adamantite ore,FINISHED,4500,3501000,4500,3514500,67500,13500,2025-09-17T23:16:24Z,2025-09-17T23:36:23Z,2025-09-17T23:36:23Z,a73e14616e766756945319c9b14cf357c34d81b0dd16690ff17cb65f88775098
1000tomax,Volatile orb,FINISHED,1,37157651,1,37393750,763137,236099,2025-09-17T22:57:25Z,2025-09-17T23:26:36Z,2025-09-17T23:26:36Z,49f9d95af68d79088b34eb2839df659b39cd28dccb5c7c6fef1433500ed0b63d
1000tomax,Ursine chainmace (u),FINISHED,1,7574079,1,7643456,155988,69377,2025-09-17T23:04:34Z,2025-09-17T23:11:17Z,2025-09-17T23:11:17Z,df60201074d134d3c18feff46da464b06cda41fb783cc07e723e09f7f3c2281a
1000tomax,Aranea boots,FINISHED,1,2917071,1,2930895,59814,13824,2025-09-17T22:59:17Z,2025-09-17T23:10:03Z,2025-09-17T23:10:03Z,d8e260ff367f6574d1eee4d33779d706054530f2c8ce6128a24fabd6d3156bb6
