First buy time,Last sell time,Account,Item,Status,Bought,Sold,Avg. buy price,Avg. sell price,Tax,Profit,Profit ea.
2025-08-23T01:47:54Z,2025-08-23T02:03:30Z,1000tomax,Revenant ether,FINISHED,30000,30000,175,180,90000,60000,2
2025-08-23T01:44:30Z,2025-08-23T02:02:33Z,1000tomax,Death rune,FINISHED,2571,2571,121,126,5142,7713,3
2025-08-23T01:44:25Z,2025-08-23T02:01:13Z,1000tomax,Red chinchompa,FINISHED,3360,3360,760,787,50400,42942,12
2025-08-23T01:45:59Z,2025-08-23T01:49:23Z,1000tomax,Snape grass seed,FINISHED,26,26,8603,9003,4680,5720,220
2025-08-23T01:40:51Z,2025-08-23T01:47:40Z,1000tomax,Atlatl dart,FINISHED,8818,8818,123,133,17636,70544,8
2025-08-23T01:42:47Z,2025-08-23T01:44:16Z,1000tomax,Odium ward,FINISHED,1,1,6054474,6252646,125052,73120,73120
2025-08-23T01:39:36Z,2025-08-23T01:44:14Z,1000tomax,Lightbearer,FINISHED,1,1,5345059,5482829,109656,28114,28114
2025-08-23T01:35:01Z,2025-08-23T01:42:34Z,1000tomax,Astral rune,FINISHED,25000,25000,55,56,25000,0,0
2025-08-23T01:35:18Z,2025-08-23T01:40:55Z,1000tomax,Coal,FINISHED,13000,13000,175,177,39000,-13000,-1
2025-08-23T01:26:24Z,2025-08-23T01:38:26Z,1000tomax,Rune arrow,FINISHED,11000,11000,200,208,44000,44000,4
2025-08-23T01:27:07Z,2025-08-23T01:34:57Z,1000tomax,Runite bolts,FINISHED,11000,11000,184,189,33000,22000,2
2025-08-23T01:26:01Z,2025-08-23T01:34:45Z,1000tomax,Cannonball,FINISHED,11000,11000,183,190,33000,44000,4
2025-08-23T01:30:01Z,2025-08-23T01:34:10Z,1000tomax,Voidwaker,FINISHED,1,1,44804193,45740023,914800,21030,21030
2025-08-23T01:29:28Z,2025-08-23T01:33:19Z,1000tomax,Nature rune,FINISHED,18000,18000,87,89,18000,18000,1
2025-08-23T01:28:37Z,2025-08-23T01:33:09Z,1000tomax,Sanfew serum(4),FINISHED,313,313,18833,19313,120818,29422,94
2025-08-22T23:10:47Z,2025-08-23T01:30:30Z,1000tomax,Dark crab,FINISHED,3558,3558,1801,1842,128088,18494,5
2025-08-23T00:48:17Z,2025-08-23T01:25:53Z,1000tomax,Dinh's bulwark,FINISHED,1,1,16582712,16998695,339973,76010,76010
2025-08-23T00:37:15Z,2025-08-23T01:25:16Z,1000tomax,Zulrah's scales,FINISHED,30000,30000,162,167,90000,60000,2
2025-08-23T00:48:39Z,2025-08-23T01:24:54Z,1000tomax,Ranarr seed,FINISHED,200,200,28625,29281,117000,14200,71
2025-08-23T00:10:01Z,2025-08-23T01:23:03Z,1000tomax,Red chinchompa,FINISHED,3640,3640,759,782,54600,29120,8
2025-08-23T00:16:33Z,2025-08-23T00:34:10Z,1000tomax,Demon tear,FINISHED,13000,13000,133,138,26000,39000,3
2025-08-23T00:21:32Z,2025-08-23T00:31:41Z,1000tomax,Yew logs,FINISHED,12000,12000,236,245,48000,60000,5
2025-08-22T23:49:51Z,2025-08-23T00:21:30Z,1000tomax,Ring of the gods,FINISHED,2,2,1034080,1087330,43492,63008,31504
2025-08-22T22:58:18Z,2025-08-23T00:21:17Z,1000tomax,Anguish ornament kit,FINISHED,1,1,9495364,9747233,194944,56925,56925
2025-08-22T23:49:40Z,2025-08-23T00:13:01Z,1000tomax,Saradomin brew(4),FINISHED,1600,1600,10173,10470,334400,140800,88
