account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Kodai wand,FINISHED,1,96116132,1,95844000,1955999,-272132,2025-09-10T03:33:11Z,2025-09-10T04:27:28Z,2025-09-10T04:27:28Z,a4603ac10d7e7aadccea6d5f3fe196973fee2236d109b4eb652d46df135709bc
1000tomax,Nature rune,FINISHED,18000,1656000,18000,1692000,18000,36000,2025-09-10T03:37:49Z,2025-09-10T04:27:28Z,2025-09-10T04:27:28Z,f9b407ad4d983830ed526d91277312b0fd9b8d56612bb3173b36bc2d2f24f18a
1000tomax,Osmumten's fang,FINISHED,4,81381700,4,80643000,1645772,-738700,2025-09-10T03:33:11Z,2025-09-10T03:57:18Z,2025-09-10T03:57:18Z,09b5522fe833dd556b6dc87b5c661809980d2f3925d8a432ec0a79b98182b7fc
1000tomax,Death rune,FINISHED,25000,3400000,25000,3475000,50000,75000,2025-09-10T00:22:42Z,2025-09-10T03:47:25Z,2025-09-10T03:47:25Z,8274e4d30d50c99848b88a18e58f00e14c5b7afe4ea231ffe5b3e9162ee118b7
1000tomax,Adamant dart,FINISHED,11000,484000,11000,506000,0,22000,2025-09-10T03:38:28Z,2025-09-10T03:44:00Z,2025-09-10T03:44:00Z,d282ee5a716cd59de7179fd3335878a05345323bfd18bb37d35e960c94a5740b
1000tomax,Amethyst arrow,FINISHED,11000,2805000,11000,2827000,55000,22728,2025-09-10T00:28:43Z,2025-09-10T03:43:09Z,2025-09-10T03:43:09Z,7e5c162f2245dcaf67c78120162fcb708e5e61db0ce4e7211f58fa537d4a7e49
1000tomax,Ghrazi rapier,FINISHED,2,67016392,2,67416794,1375852,400402,2025-09-10T00:29:28Z,2025-09-10T03:41:50Z,2025-09-10T03:41:50Z,1a7c73c672450f33a89a0cf4ef4fe6fdf0764dc91b2345047f372e6b7f918739
1000tomax,Dinh's bulwark,FINISHED,1,17046530,1,17132177,349636,85647,2025-09-10T00:23:36Z,2025-09-10T03:33:11Z,2025-09-10T03:33:11Z,48cc565b641f7b8939e8ecf75a3f303c3ae9cb0d56d643dd24e86c410238d2bc
1000tomax,Berserker ring,FINISHED,8,41731232,8,42112056,859424,380824,2025-09-09T19:16:47Z,2025-09-10T00:35:39Z,2025-09-10T00:35:39Z,e74b58376b0d1cd8f2b821d69cb5caeda1ef044989d3eebbcbc5469a3871faca
1000tomax,Amethyst dart,FINISHED,8504,3120968,8504,3214512,59528,93544,2025-09-10T00:20:51Z,2025-09-10T00:27:33Z,2025-09-10T00:27:33Z,76208c77608fd5d211b5c57aad4f4ecd758c1e9c6928b65d482e31fc06c4e92d
