account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Demon tear,FINISHED,13000,2444000,13000,2470000,39000,26000,2025-09-09T03:23:05Z,2025-09-09T04:28:56Z,2025-09-09T04:28:56Z,44b8d4d09a72d0e93de0e32db4aa9c394846fae610533e61636c109edf8df022
1000tomax,Saradomin godsword,FINISHED,2,54769832,2,54916228,1120738,146396,2025-09-09T03:31:35Z,2025-09-09T04:16:15Z,2025-09-09T04:16:15Z,f1735868348b7176224bd244fcbf172bd589a1c033885e6d407f3823b303c0b1
1000tomax,Rune arrow,FINISHED,11000,1628000,11000,1661000,33000,33000,2025-09-09T03:21:00Z,2025-09-09T03:28:49Z,2025-09-09T03:28:49Z,c323f820a2d92ec6a9283d1142254f1b9344d2d93168049d65041d5004bd3e46
1000tomax,Iron ore,FINISHED,13000,1443000,13000,1482000,26000,39000,2025-09-09T03:04:10Z,2025-09-09T03:27:50Z,2025-09-09T03:27:50Z,0be3c02c63a7a43a27235d13f84f215ae9c8b47eeefc8da045a4f0a3c2f73b75
1000tomax,Grapes,FINISHED,13611,979992,13611,993603,13611,13611,2025-09-09T03:00:40Z,2025-09-09T03:21:05Z,2025-09-09T03:21:05Z,76e099b481afcced2203241a113fdcc9654c387a07d3dc092cff0e410e7951da
1000tomax,Flared trousers,FINISHED,1,3082409,1,3143433,64151,61024,2025-09-09T03:09:34Z,2025-09-09T03:18:10Z,2025-09-09T03:18:10Z,52d9c640ab2d215fefe4a3d4e080865d22e9478c204de957bf8229f5683249a9
1000tomax,Bandos chestplate,FINISHED,2,45391806,2,45534570,929276,142764,2025-09-09T02:59:53Z,2025-09-09T03:15:59Z,2025-09-09T03:15:59Z,8b23971a9ca19c951fd7e6836d14b50c73ec1e56da62975ca68d108df8e44988
1000tomax,Death rune,FINISHED,25000,3225000,25000,3250000,50000,47553,2025-09-09T02:40:11Z,2025-09-09T03:07:09Z,2025-09-09T03:07:09Z,6cb8492c80f2af0cba27262f37ae0475b5998ee326f131d122c38a115a221824
1000tomax,Lantadyme,FINISHED,618,1902204,618,1945076,39322,43216,2025-09-09T02:23:31Z,2025-09-09T03:05:59Z,2025-09-09T03:05:59Z,f767af941dfa20b7d168706a39bd4a45821c7a0cc2ed798eac8ed4843d37d37c
1000tomax,Teleport to house,FINISHED,749,386484,749,392476,0,6265,2025-09-09T02:35:19Z,2025-09-09T02:52:12Z,2025-09-09T02:52:12Z,53bc49b20d86ee2a44e6a7f9c8226bb586694e29159074dfa246c2fb2baaba45
1000tomax,Sanfew serum(4),FINISHED,144,2645856,144,2672928,54432,27072,2025-09-09T02:35:52Z,2025-09-09T02:40:08Z,2025-09-09T02:40:08Z,34dbe14e2c9be38af4b86c51ad546a351e6677cc7d64303371702f66b8af7ab7
1000tomax,Bandos chestplate,FINISHED,3,68234211,3,68324755,1394381,90545,2025-09-09T02:08:21Z,2025-09-09T02:39:35Z,2025-09-09T02:39:35Z,89c4257f8780f195f860c8e1b5386f42c0bb7572e6e5e1f763fe563a68ba6009
