account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Revenant ether,SELLING,30000,5220000,16156,2843456,48468,32312,2025-09-07T16:32:43Z,2025-09-07T18:45:29Z,2025-09-07T18:45:29Z,1d7822b013ad4df78e205bdb76d1e019cdbb6edc4d25cb28cea7dfe90ccdff05
1000tomax,Rune arrow,FINISHED,11000,1617000,11000,1639000,33000,22000,2025-09-07T18:27:22Z,2025-09-07T18:44:39Z,2025-09-07T18:44:39Z,393c295f06a2e811a01337c1c0130f9b6e47d1c2c3e7223323b050ef8c2e05e7
1000tomax,Kwuarm seed,FINISHED,200,440200,200,454400,9200,14200,2025-09-07T18:25:50Z,2025-09-07T18:44:17Z,2025-09-07T18:44:17Z,77cada614d44a308900ea9c452576adefbfc5ebbb501f9e4230fdfd3fd7edba5
1000tomax,Twisted buckler,FINISHED,2,38133816,2,38421556,784112,287740,2025-09-07T17:55:50Z,2025-09-07T18:36:35Z,2025-09-07T18:36:35Z,4f527a7074a7d0ef69935e94c89ddcb22aa61a1d747315335707bde702d83e81
1000tomax,Zulrah's scales,FINISHED,30000,5820000,30000,5880000,90000,60000,2025-09-07T18:25:07Z,2025-09-07T18:29:24Z,2025-09-07T18:29:24Z,47f4d5a0787dfad6eaf3a51d0892692d344d63f78cfcfd06450c7f31a2e76a97
1000tomax,Abyssal bludgeon,FINISHED,2,38898190,2,39036720,796666,138530,2025-09-07T16:35:25Z,2025-09-07T18:06:44Z,2025-09-07T18:06:44Z,6ced795f607ca273793e165ac716395f210ab84d9b5562d18cfee49647bd42bc
1000tomax,Amulet of fury,FINISHED,3,6123711,3,6202959,126588,79248,2025-09-07T16:29:40Z,2025-09-07T18:04:57Z,2025-09-07T18:04:57Z,3cac77564ba6982ddb352d508314eaf325fc303f16aae1fbbbaf79f91dcb2907
1000tomax,Soul rune,FINISHED,25000,8300000,25000,8375000,150000,75000,2025-09-07T16:29:49Z,2025-09-07T17:57:48Z,2025-09-07T17:57:48Z,6e256b329d78848e16b50b6bdd74df0bc1afe5a6801629562e060f9a558e064d
1000tomax,Inquisitor's armour set,FINISHED,1,117933833,1,118045674,2409095,111841,2025-09-07T17:02:19Z,2025-09-07T17:53:56Z,2025-09-07T17:53:56Z,6bd961a3f356adf6a53da5667eec408d59a1bd11a1dd65a373240c27cae32473
1000tomax,Rune dart,FINISHED,11000,3058000,11000,3091000,55000,33000,2025-09-07T16:25:46Z,2025-09-07T16:58:36Z,2025-09-07T16:58:36Z,9bf2e4a97628bcba249f4ab503871c36567d93537c546f63f7d4b50b642cb4d2
1000tomax,Cannonball,FINISHED,11000,2277000,11000,2321000,44000,44000,2025-09-07T16:29:39Z,2025-09-07T16:41:47Z,2025-09-07T16:41:47Z,1a8bd83eb8f5e7dbba7582041ad45f915550b03cdf312fe12c7685d6e56e7bda
1000tomax,Nature rune,FINISHED,15,1320,15,1320,15,0,2025-09-07T16:25:54Z,2025-09-07T16:28:18Z,2025-09-07T16:28:18Z,36562d605fb2fe555252ed180f1b747cc91a093a07c1af604c1ff3c92931ab21
1000tomax,Rune arrow,FINISHED,11000,1672000,11000,1683000,33000,11000,2025-09-07T05:37:43Z,2025-09-07T16:27:14Z,2025-09-07T16:27:14Z,50326229c4fae067ca4cc8ea33686ec41330f70c242e9668725e84473526d1e3
