item_name,spent,received_post_tax,tax_paid,profit,closed_quantity,closed_timestamp
"Marrentill potion (unf)",6264,7047,116,783,29,2025-07-29T04:53:19Z
"Maple shortbow (u)",23760,24480,360,720,360,2025-07-29T04:38:00Z
"Iron dart tip",27852,29751,0,1899,633,2025-07-29T04:31:35Z
"Maple sapling",53310,55770,1125,2460,15,2025-07-29T04:10:50Z
"Tai bwo wannai teleport",54090,58200,1185,4110,15,2025-07-29T04:03:23Z
"Molten glass",53375,56000,875,2625,875,2025-07-29T04:02:30Z
"Iron arrowtips",5445,6655,0,1210,605,2025-07-29T04:02:22Z
"Swampbark body",80549,83735,1708,3186,1,2025-07-29T03:57:51Z
"Bass",21627,24300,0,2673,243,2025-07-29T03:54:28Z
"Watchtower teleport",11997,13392,248,1395,31,2025-07-29T03:47:23Z
"Khazard teleport",6960,8154,162,1194,6,2025-07-29T03:46:08Z
"Mind altar teleport",1803,2029,41,226,1,2025-07-29T03:45:31Z
"Bass",1936,2244,0,308,22,2025-07-29T03:45:19Z
"West ardougne teleport",41235,43425,885,2190,15,2025-07-29T03:39:56Z
"Mystic hat",34160,36844,750,2684,2,2025-07-29T03:36:52Z
"Lava scale shard",6272,7616,0,1344,448,2025-07-29T03:34:58Z
"Pest control teleport",2063,2230,45,167,1,2025-07-29T03:34:04Z
"Bass",5720,6500,0,780,65,2025-07-29T03:32:11Z
"Tai bwo wannai teleport",18210,19410,395,1200,5,2025-07-29T03:28:13Z
"Blighted entangle sack",45072,47576,626,2504,626,2025-07-29T03:25:44Z
"Mind altar teleport",15732,18006,363,2274,9,2025-07-29T03:25:15Z
"Fenkenstrain's castle teleport",26470,28840,580,2370,10,2025-07-29T03:24:26Z
"Unicorn horn dust",3072,3204,64,132,4,2025-07-29T03:21:21Z
"Fenkenstrain's castle teleport",42352,45920,928,3568,16,2025-07-29T03:18:56Z
"Mystic gloves",34764,37332,756,2568,6,2025-07-29T03:16:44Z
"Ghorrock teleport",12324,14364,288,2040,12,2025-07-29T03:15:15Z
"Arceuus library teleport",13272,14336,287,1064,7,2025-07-29T03:10:29Z
"Feldip hills teleport",13030,15070,300,2040,10,2025-07-29T03:09:57Z
"Mystic hat",34558,37060,756,2502,2,2025-07-29T03:05:27Z
"Mind altar teleport",19316,21989,440,2673,11,2025-07-29T03:05:12Z
"Watermelon seed",1960,4592,56,2632,56,2025-07-29T03:03:38Z
"Xerician hat",38759,41496,840,2737,7,2025-07-29T03:01:58Z
"Searing page",39162,40542,825,1380,3,2025-07-29T03:01:54Z
"Hunter potion(4)",21448,24213,490,2765,7,2025-07-29T03:01:24Z
"Mystic hat",33464,36870,752,3406,2,2025-07-29T02:57:18Z
"Blighted entangle sack",31780,34504,454,2724,454,2025-07-29T02:54:44Z
"Maple bird house",6307,11921,238,5614,7,2025-07-29T02:51:53Z
"Xerician hat",33366,35418,720,2052,6,2025-07-29T02:51:42Z
"Mixed hide boots",14431,16088,328,1657,1,2025-07-29T02:49:33Z
"Ghorrock teleport",6186,7248,144,1062,6,2025-07-29T02:40:27Z
"Combat potion(4)",25250,28583,505,3333,101,2025-07-29T02:39:20Z
"Bass",15486,16878,0,1392,174,2025-07-29T02:35:30Z
"Blighted entangle sack",24220,26296,346,2076,346,2025-07-29T02:31:16Z
"Avantoe seed",2196,3969,72,1773,9,2025-07-29T02:30:34Z
"Yanillian hops",23268,24360,476,1092,28,2025-07-29T02:19:31Z
"Mystic hat",33790,36948,754,3158,2,2025-07-29T02:14:05Z
"Arceuus library teleport",9295,10290,205,995,5,2025-07-29T02:13:57Z
"Lassar teleport",19800,20768,418,968,22,2025-07-29T02:11:00Z
"Battlefront teleport",13788,14766,300,978,6,2025-07-29T02:05:07Z
"Cemetery teleport",2258,2774,56,516,1,2025-07-29T02:01:49Z
"Avantoe seed",2745,6585,120,3840,15,2025-07-29T01:53:59Z
"Colossal wyrm teleport scroll",34330,36190,738,1860,1,2025-07-29T01:52:44Z
"Fat snail",1619,2141,43,522,1,2025-07-29T01:42:56Z
"Ghorrock teleport",2052,2400,48,348,2,2025-07-29T01:36:41Z
"Senntisten teleport",18879,20769,420,1890,21,2025-07-29T01:35:09Z
"Apples(5)",3245,4851,88,1606,11,2025-07-29T01:35:04Z
"Iron dart",14160,24072,0,9912,1416,2025-07-29T01:29:13Z
"Lassar teleport",21528,22704,456,1176,24,2025-07-29T01:23:53Z
"Dragon arrow(p+)",12636,14418,294,1782,6,2025-07-29T01:20:30Z
"Iron dart",6530,9142,0,2612,653,2025-07-29T01:20:25Z
"Searing page",12102,13381,273,1279,1,2025-07-29T01:14:48Z
"Khazard teleport",3273,4068,81,795,3,2025-07-29T01:12:43Z
"Bolt of cloth",7200,7728,152,528,8,2025-07-29T01:12:40Z
"Apples(5)",22753,26352,488,3599,61,2025-07-29T01:11:22Z
"Bass",25317,28227,0,2910,291,2025-07-29T01:05:29Z
"Avantoe seed",1602,2622,48,1020,6,2025-07-29T01:05:19Z
"Limpwurt seed",1376,2150,0,774,86,2025-07-29T01:01:50Z
"Mystic gloves",17364,18645,378,1281,3,2025-07-29T00:58:25Z
"Kwuarm seed",8540,10680,215,2140,5,2025-07-29T00:56:05Z
"Carrallanger teleport",3234,3465,69,231,3,2025-07-29T00:52:32Z
"Monkey bar",8176,12048,240,3872,16,2025-07-29T00:52:17Z
"Black d'hide shield",18385,19644,400,1259,1,2025-07-29T00:48:32Z
"Wildblood seed",1581,2091,0,510,51,2025-07-29T00:47:19Z
"Bass",522,588,0,66,6,2025-07-29T00:46:55Z
"Senntisten teleport",5442,6000,120,558,6,2025-07-29T00:40:22Z
"Fat snail",1623,2220,45,597,1,2025-07-29T00:29:20Z
"Senntisten teleport",8980,10090,200,1110,10,2025-07-29T00:28:54Z
"Strawberries(5)",3663,5112,99,1449,9,2025-07-29T00:28:12Z
"Hunter potion(4)",14725,16235,330,1510,5,2025-07-29T00:21:14Z
"Waterskin(4)",1610,1990,40,380,10,2025-07-29T00:12:34Z
"Mystic gloves",16923,18606,378,1683,3,2025-07-29T00:07:17Z
"Feldip hills teleport",11826,12564,252,738,9,2025-07-29T00:05:15Z
"Magic potion(4)",10413,11303,178,890,89,2025-07-29T00:03:55Z
"Mahogany sapling",14812,20860,420,6048,14,2025-07-28T23:57:04Z
"Limestone brick",3880,4410,80,530,10,2025-07-28T23:56:19Z
"Steel axe",125,220,0,95,5,2025-07-28T23:54:05Z
"Apples(5)",5904,5728,112,-176,16,2025-07-28T23:47:55Z
"Khazard teleport",16688,20118,406,3430,14,2025-07-28T23:39:44Z
"Kebbit bolts",16653,17690,305,1037,61,2025-07-28T23:38:36Z
"Senntisten teleport",1770,2034,40,264,2,2025-07-28T23:35:27Z
"Limestone brick",5031,5733,104,702,13,2025-07-28T23:33:31Z
"Gianne dough",400,1200,0,800,200,2025-07-28T23:33:02Z
"Babydragon bones",11400,12576,240,1176,24,2025-07-28T23:30:44Z
"Dragon scale dust",648,744,12,96,12,2025-07-28T23:26:02Z
"Waterskin(4)",4316,5174,104,858,26,2025-07-28T23:24:53Z
"Moonlight moth mix (2)",14615,15230,310,615,5,2025-07-28T23:18:22Z
"Magic potion(4)",8307,9017,142,710,71,2025-07-28T23:16:59Z
"Iron arrowtips",4800,6000,0,1200,600,2025-07-28T23:07:11Z
"Mole claw",4801,5888,120,1087,1,2025-07-28T23:03:27Z
"Apples(5)",8924,10557,207,1633,23,2025-07-28T22:58:20Z
"Mahogany bird house",12376,13237,266,861,7,2025-07-28T22:51:36Z
"Admiral pie",3800,4408,76,608,38,2025-07-28T22:42:31Z
"Pot of cream",3312,1242,0,-2070,207,2025-07-28T22:36:07Z
"Blue d'hide vambraces",12488,14264,288,1776,8,2025-07-28T22:29:53Z
"Cup of hot water",13585,15990,325,2405,65,2025-07-28T22:23:09Z
"Senntisten teleport",7956,8802,171,846,9,2025-07-28T22:19:07Z
"Dragonfruit pie",8908,9486,187,578,17,2025-07-28T22:18:38Z
