account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
1000tomax,Zulrah's scales,FINISHED,30000,4770000,30000,4860000,90000,90000,2025-08-21T04:39:34Z,2025-08-21T04:56:05Z,2025-08-21T04:56:05Z,3f3c5277e3f06709e664afec26880b5da1816896b8150d404a3533dc0efee807
1000tomax,Mahogany plank,FINISHED,12838,23917194,12838,24109764,487844,199087,2025-08-21T03:45:42Z,2025-08-21T04:39:20Z,2025-08-21T04:39:20Z,e0d551ace39bb4c3a21cbf9e4018617fcd825b799d3af2297601e609614f1ff3
1000tomax,Toxic staff (uncharged),FINISHED,1,10922495,1,10955025,223571,32530,2025-08-21T04:13:03Z,2025-08-21T04:33:00Z,2025-08-21T04:33:00Z,ab9c5061a90866e88b25b0518f0537d297dc2e7628f43fdf89886c3a5e13e58f
1000tomax,Snape grass seed,FINISHED,30,262110,30,270360,5490,8250,2025-08-21T04:20:30Z,2025-08-21T04:31:31Z,2025-08-21T04:31:31Z,a4abca329dda76b85cecec48044945993b12a28c117df1cca25dfed20980c3a2
1000tomax,Masori mask,FINISHED,1,9291218,1,9391161,191656,99943,2025-08-21T04:16:19Z,2025-08-21T04:30:41Z,2025-08-21T04:30:41Z,1d41f284b8a7c6c2b825b36b8c5884b2b98dc6a8b5eec8ffb32b87c791a06afa
1000tomax,Teak logs,FINISHED,204,43452,204,43248,816,'-204,2025-08-21T04:08:42Z,2025-08-21T04:19:16Z,2025-08-21T04:19:16Z,14e76ef1415c10190814808c5c34bacd213707b0154bcc0f3fe539aa8cd01b18
1000tomax,Mahogany logs,FINISHED,1983,743625,1983,755523,13881,11898,2025-08-21T03:55:55Z,2025-08-21T04:10:10Z,2025-08-21T04:10:10Z,6532f901051cdebefe73140c66af58612683a42f32b1acc04b0bf35c87864a99
1000tomax,Law rune,FINISHED,18000,2016000,18000,2052000,36000,37546,2025-08-21T03:51:38Z,2025-08-21T04:08:56Z,2025-08-21T04:08:56Z,826ab74b401cfac2e57e6ec37609a01f48c37674986a1ecef2a80a1f972609c4
1000tomax,Super restore(4),FINISHED,745,12668725,745,12819215,261495,150490,2025-08-21T02:50:55Z,2025-08-21T04:05:00Z,2025-08-21T04:05:00Z,232dd2fc887558fb44e10ff3b58adbe4b4a7e99cd4f7c524cbd5d0fd813ab168
1000tomax,Astral rune,FINISHED,5585,301590,5585,329515,5585,33197,2025-08-21T03:40:01Z,2025-08-21T04:02:02Z,2025-08-21T04:02:02Z,43a0409d4dded033fa97558153a81a892882393b62e367a07c897e07f509ea9b
